"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"77","RT @UUtah: We're not crying. Okay, we are. See how commencement speaker @BenNemtin of the @TheBuriedLife helped us make one @UtahJazz fan's‚Ä¶",FALSE,0,NA,2018-05-06 22:42:00,FALSE,NA,"993259612135612416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paigedmartinez",1,TRUE,FALSE,NA,NA
"78","@j_heat1 @utahjazz @UtahJazzGaming @GFGCompete I wish I was on it haha",FALSE,0,"j_heat1",2018-05-06 22:41:48,FALSE,"991792716747915264","993259562957324288","2667465636","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stonecolduso",0,FALSE,FALSE,NA,NA
"79","RT @utahjazz: Ricky Rubio is one of 10 nominees for the @nbacares #NBACommunityAssist award and today is the last day to vote.

RT to cast‚Ä¶",FALSE,0,NA,2018-05-06 22:41:42,FALSE,NA,"993259537028218880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","endersbe_mary",2642,TRUE,FALSE,NA,NA
"80","RT @utahjazz: Ricky Rubio is one of 10 nominees for the @nbacares #NBACommunityAssist award and today is the last day to vote.

RT to cast‚Ä¶",FALSE,0,NA,2018-05-06 22:40:59,FALSE,NA,"993259359999160320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","photographysav",2642,TRUE,FALSE,NA,NA
"81","RT @utahjazz: YESSSSSS EXXXXXXX!

#TAKENOTE",FALSE,0,NA,2018-05-06 22:40:54,FALSE,NA,"993259337169670144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DIluyomade",105,TRUE,FALSE,NA,NA
"82","RT @utahjazz: Ricky Rubio is one of 10 nominees for the @nbacares #NBACommunityAssist award and today is the last day to vote.

RT to cast‚Ä¶",FALSE,0,NA,2018-05-06 22:40:42,FALSE,NA,"993259287731290113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alycostello4",2642,TRUE,FALSE,NA,NA
"83","Can't wait for the @utahjazz vs @HoustonRockets tonight on @NBAonTNT #NBA #NBAPlayoffs #NBAonTNT",FALSE,0,NA,2018-05-06 22:40:35,FALSE,NA,"993259256366460928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","themyndflux",0,FALSE,FALSE,NA,NA
"84","RT @kristenkenney: Facebook live starting now on @utahjazz with @BuckleUpBoler &amp; KK",FALSE,0,NA,2018-05-06 22:40:33,FALSE,NA,"993259247616966656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mafran1601",1,TRUE,FALSE,NA,NA
"85","RT @utahjazz: Ricky Rubio is one of 10 nominees for the @nbacares #NBACommunityAssist award and today is the last day to vote.

RT to cast‚Ä¶",FALSE,0,NA,2018-05-06 22:40:08,FALSE,NA,"993259142235254785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pablocueli9",2642,TRUE,FALSE,NA,NA
"86","RT @NBA: The @HoustonRockets seek commanding 3-1 lead, while the @utahjazz look to even it up 2-2...

Ì†ºÌøÄ: #Rockets x #TakeNote Game 4 
‚è∞: 8:‚Ä¶",FALSE,0,NA,2018-05-06 22:39:31,FALSE,NA,"993258988719476736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kingbrewcity24",80,TRUE,FALSE,NA,NA
"87","RT @SaintArnold: Hey @MittRomney! How many more wins do the @HoustonRockets need to run the @utahjazz out of the playoffs, and thus, win us‚Ä¶",FALSE,0,NA,2018-05-06 22:39:24,FALSE,NA,"993258961007730689",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FrenchKidsMusic",5,TRUE,FALSE,NA,NA
"88","RT @Elars777: My beautiful amazing mom got the surprise of her lifetime today. Thank you Ricky for being the class act you are. @utahjazz @‚Ä¶",FALSE,0,NA,2018-05-06 22:39:22,FALSE,NA,"993258951121633280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","n7tek",196,TRUE,FALSE,NA,NA
"89","RT @NBA: Looking to even the series 2-2 with a W, the @utahjazz arrive for Game 4 (8pm/et @NBAonTNT). #TakeNote https://t.co/MhwvtQUQIZ",FALSE,0,NA,2018-05-06 22:39:11,FALSE,NA,"993258903378038785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kingbrewcity24",111,TRUE,FALSE,NA,NA
"90","RT @nbacares: RT to cast your vote for @utahjazz #RickyRubio for the Seasonlong #NBACommunityAssist Award presented by @KPShare! 

Learn mo‚Ä¶",FALSE,0,NA,2018-05-06 22:39:00,FALSE,NA,"993258858217988097",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","karc09",508,TRUE,FALSE,NA,NA
"91","RT @utahjazz: Ricky Rubio is one of 10 nominees for the @nbacares #NBACommunityAssist award and today is the last day to vote.

RT to cast‚Ä¶",FALSE,0,NA,2018-05-06 22:38:16,FALSE,NA,"993258673748099073",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chipperjs",2642,TRUE,FALSE,NA,NA
"92","RT @utahjazz: Ricky Rubio is one of 10 nominees for the @nbacares #NBACommunityAssist award and today is the last day to vote.

RT to cast‚Ä¶",FALSE,0,NA,2018-05-06 22:38:14,FALSE,NA,"993258666705928192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JosieLarsen9",2642,TRUE,FALSE,NA,NA
"93","RT @utahjazz: Today‚Äôs @UofUHealth report:

Ricky Rubio (left hamstring strain) is out. 

Derrick Favors (left ankle sprain) is questionable.",FALSE,0,NA,2018-05-06 22:38:07,FALSE,NA,"993258635546406912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","n7tek",38,TRUE,FALSE,NA,NA
"94","RT @mikeGrobb: Today‚Äôs game 4 @utahjazz try to even the series against @HoustonRockets #UTAvsHOU https://t.co/DojSJChKwI",FALSE,0,NA,2018-05-06 22:38:00,FALSE,NA,"993258608090497024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","troykburnett",2,TRUE,FALSE,NA,NA
"95","RT @utahjazz: Ricky Rubio is one of 10 nominees for the @nbacares #NBACommunityAssist award and today is the last day to vote.

RT to cast‚Ä¶",FALSE,0,NA,2018-05-06 22:37:46,FALSE,NA,"993258546627203072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nathatz23",2642,TRUE,FALSE,NA,NA
"96","RT @Elars777: Retweet to vote for @rickyrubio9 In the playoffs, and rehabbing an injury he STILL made time to visit my mom @marshastrong18‚Ä¶",FALSE,0,NA,2018-05-06 22:37:42,FALSE,NA,"993258532274401280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","karc09",18,TRUE,FALSE,NA,NA
"97","Facebook live starting now on @utahjazz with @BuckleUpBoler &amp; KK",FALSE,5,NA,2018-05-06 22:37:12,FALSE,NA,"993258404377378816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kristenkenney",1,FALSE,FALSE,NA,NA
"98","RT @utahjazz: Ricky Rubio is one of 10 nominees for the @nbacares #NBACommunityAssist award and today is the last day to vote.

RT to cast‚Ä¶",FALSE,0,NA,2018-05-06 22:36:51,FALSE,NA,"993258318419320832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aelder027",2642,TRUE,FALSE,NA,NA
"99","Kid has one wish!! @utahjazz #HOUatUTA https://t.co/alrq2Aa7Zi",FALSE,1,NA,2018-05-06 22:36:39,FALSE,NA,"993258268184072192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TaylorManuele",1,FALSE,FALSE,NA,NA
"100","@sage_sunhee @NBA @utahjazz @NBAonTNT I would love 3 more, but I am pretty happy with where we are",FALSE,1,"sage_sunhee",2018-05-06 22:36:16,FALSE,"993243894664970241","993258169773113344","4192081165","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","qyew47",0,FALSE,FALSE,NA,NA
"101","RT @utahjazz: Game 4: #HOUatUTA
Ì†ΩÌ≥∫: @NBAonTNT 
Ì†ΩÌ≥ç: @vivintarena
Ì†ΩÌ≥±: https://t.co/T6WV3M0pbF    
Ì†ΩÌ≥ª: @1280sports
Ì†ΩÌ∫™: 4:15PM 
‚è∞: 6:00PM MT
Ì†ºÌæΩ: Stat‚Ä¶",FALSE,0,NA,2018-05-06 22:36:07,FALSE,NA,"993258131399426048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JDAhlstrom2",47,TRUE,FALSE,NA,NA
"102","RT @utahjazz: Ricky Rubio is one of 10 nominees for the @nbacares #NBACommunityAssist award and today is the last day to vote.

RT to cast‚Ä¶",FALSE,0,NA,2018-05-06 22:36:06,FALSE,NA,"993258130103586817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","easton_roberts",2642,TRUE,FALSE,NA,NA
"103","RT @utahjazz: Ricky Rubio is one of 10 nominees for the @nbacares #NBACommunityAssist award and today is the last day to vote.

RT to cast‚Ä¶",FALSE,0,NA,2018-05-06 22:35:31,FALSE,NA,"993257983197958146",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mwilliams_matt",2642,TRUE,FALSE,NA,NA
"104","RT @utahjazz: Ricky Rubio is one of 10 nominees for the @nbacares #NBACommunityAssist award and today is the last day to vote.

RT to cast‚Ä¶",FALSE,0,NA,2018-05-06 22:35:31,FALSE,NA,"993257982426152961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JodiOFarrell",2642,TRUE,FALSE,NA,NA
"105","@utahjazz @UofUHealth  https://t.co/QaV2EsACRh",FALSE,0,"utahjazz",2018-05-06 22:35:26,FALSE,"993221092566159360","993257960691372037","18360370","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rcheninger",0,FALSE,FALSE,NA,NA
"106","@funsizebarber @utahjazz Chances are you could at least poach one from an empty upper bowl seat near halftime.",FALSE,0,"funsizebarber",2018-05-06 22:35:24,FALSE,"993237575467810816","993257951736483840","2796702276","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LifeOnaPlate",0,FALSE,FALSE,NA,NA
"107","#TakeNote @utahjazz https://t.co/WU9Pcmfbdr",FALSE,0,NA,2018-05-06 22:35:21,FALSE,NA,"993257938927075328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dwarfchron801R",0,FALSE,FALSE,NA,NA
"108","RT @utahjazz: Ricky Rubio is one of 10 nominees for the @nbacares #NBACommunityAssist award and today is the last day to vote.

RT to cast‚Ä¶",FALSE,0,NA,2018-05-06 22:35:15,FALSE,NA,"993257915678121985",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PedrinhoN007",2642,TRUE,FALSE,NA,NA
"109","RT @utahjazz: .@RickyRubio9 has been a great ambassador this year for the #5ForTheFight campaign. ‚úã

Jazz fans, RT to vote #RickyRubio for‚Ä¶",FALSE,0,NA,2018-05-06 22:35:13,FALSE,NA,"993257906538778626",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","karc09",588,TRUE,FALSE,NA,NA
