"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"568","RT @NBA: Ahead of tonight's @HoustonRockets action, we showcase @CP3's handles! 

Ì†ºÌøÄ: #Rockets x #TakeNote Game 4 
‚è∞: 8:00pm/et Ì†ΩÌ≥∫: @NBAonTNT‚Ä¶",FALSE,0,NA,2018-05-06 21:46:43,FALSE,NA,"993245700816240640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jerard94",258,TRUE,FALSE,NA,NA
"569","RT @NBA: Ahead of tonight's @HoustonRockets action, we showcase @CP3's handles! 

Ì†ºÌøÄ: #Rockets x #TakeNote Game 4 
‚è∞: 8:00pm/et Ì†ΩÌ≥∫: @NBAonTNT‚Ä¶",FALSE,0,NA,2018-05-06 21:46:39,FALSE,NA,"993245685653954561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dianys_alliote",258,TRUE,FALSE,NA,NA
"570","RT @NBA: Ahead of tonight's @HoustonRockets action, we showcase @CP3's handles! 

Ì†ºÌøÄ: #Rockets x #TakeNote Game 4 
‚è∞: 8:00pm/et Ì†ΩÌ≥∫: @NBAonTNT‚Ä¶",FALSE,0,NA,2018-05-06 21:46:36,FALSE,NA,"993245671951134720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DYLLANJAMESVOO1",258,TRUE,FALSE,NA,NA
"571","RT @NBA: Ahead of tonight's @HoustonRockets action, we showcase @CP3's handles! 

Ì†ºÌøÄ: #Rockets x #TakeNote Game 4 
‚è∞: 8:00pm/et Ì†ΩÌ≥∫: @NBAonTNT‚Ä¶",FALSE,0,NA,2018-05-06 21:46:29,FALSE,NA,"993245642913873920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CamGrissom",258,TRUE,FALSE,NA,NA
"572","RT @NBA: Ahead of tonight's @HoustonRockets action, we showcase @CP3's handles! 

Ì†ºÌøÄ: #Rockets x #TakeNote Game 4 
‚è∞: 8:00pm/et Ì†ΩÌ≥∫: @NBAonTNT‚Ä¶",FALSE,0,NA,2018-05-06 21:46:29,FALSE,NA,"993245640955252736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andrewbean42",258,TRUE,FALSE,NA,NA
"573","RT @NBA: Ahead of tonight's @HoustonRockets action, we showcase @CP3's handles! 

Ì†ºÌøÄ: #Rockets x #TakeNote Game 4 
‚è∞: 8:00pm/et Ì†ΩÌ≥∫: @NBAonTNT‚Ä¶",FALSE,0,NA,2018-05-06 21:46:28,FALSE,NA,"993245637083844610",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mflores014",258,TRUE,FALSE,NA,NA
"574","RT @NBA: Ahead of tonight's @HoustonRockets action, we showcase @CP3's handles! 

Ì†ºÌøÄ: #Rockets x #TakeNote Game 4 
‚è∞: 8:00pm/et Ì†ΩÌ≥∫: @NBAonTNT‚Ä¶",FALSE,0,NA,2018-05-06 21:46:24,FALSE,NA,"993245622697414657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","man_z73",258,TRUE,FALSE,NA,NA
"575","RT @HoustonRockets: RT to wish @CP3 a happy birthday! Ì†ΩÌ∫Ä https://t.co/fIrxOxcBwr",FALSE,0,NA,2018-05-06 21:46:20,FALSE,NA,"993245606108979201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zeezzus",3851,TRUE,FALSE,NA,NA
"576","RT @NBA: Ahead of tonight's @HoustonRockets action, we showcase @CP3's handles! 

Ì†ºÌøÄ: #Rockets x #TakeNote Game 4 
‚è∞: 8:00pm/et Ì†ΩÌ≥∫: @NBAonTNT‚Ä¶",FALSE,0,NA,2018-05-06 21:46:18,FALSE,NA,"993245595530821632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JManRTA",258,TRUE,FALSE,NA,NA
"577","RT @NBA: Ahead of tonight's @HoustonRockets action, we showcase @CP3's handles! 

Ì†ºÌøÄ: #Rockets x #TakeNote Game 4 
‚è∞: 8:00pm/et Ì†ΩÌ≥∫: @NBAonTNT‚Ä¶",FALSE,0,NA,2018-05-06 21:46:06,FALSE,NA,"993245544666542080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","A__yanna",258,TRUE,FALSE,NA,NA
